iter	Logloss
0	0.6556731277
1	0.6232733904
2	0.5953603674
3	0.5698545015
4	0.5476229613
5	0.5288399061
6	0.5119008954
7	0.4974835516
8	0.4842786074
9	0.4727793588
10	0.4619596152
11	0.4531303909
12	0.444791232
13	0.4373433257
14	0.4308170714
15	0.4247392049
16	0.4196846587
17	0.4149417765
18	0.410712658
19	0.4069668498
20	0.403329573
21	0.4002898867
22	0.3973495259
23	0.3946273656
24	0.3923023087
25	0.3899673303
26	0.3877246776
27	0.3857589977
28	0.3839385472
29	0.3822461931
30	0.3808494359
31	0.379647584
32	0.3785240646
33	0.3771939901
34	0.3762629528
35	0.3752058771
36	0.3741374949
37	0.3732878297
38	0.3724216568
39	0.3716009559
40	0.3708614592
41	0.3701654653
42	0.3694762432
43	0.3688765593
44	0.3682522815
45	0.3676822648
46	0.3671396052
47	0.3665615339
48	0.3659929184
49	0.3654377806
50	0.364922832
51	0.364498375
52	0.3640224386
53	0.3636365513
54	0.3632357978
55	0.3628294973
56	0.3624462842
57	0.3621369411
58	0.3617979951
59	0.3615622859
60	0.3612689531
61	0.3609193714
62	0.3605947618
63	0.3603176993
64	0.3600173269
65	0.3597750337
66	0.3594567307
67	0.3592641019
68	0.3589705039
69	0.3587356581
70	0.3585187529
71	0.3582757659
72	0.3580541383
73	0.3578742313
74	0.3576801954
75	0.357449815
76	0.3572980985
77	0.3570809292
78	0.3569069466
79	0.3567123364
80	0.3565415725
81	0.3563733955
82	0.3561221181
83	0.3559418565
84	0.3557629206
85	0.3556267637
86	0.3554619534
87	0.3552693728
88	0.3550946078
89	0.354922822
90	0.3547781312
91	0.3546323896
92	0.3544418549
93	0.3542973325
94	0.3541318049
95	0.354012106
96	0.3538759505
97	0.3537487042
98	0.3536000067
99	0.3534335548
100	0.3533178357
101	0.3531775587
102	0.3530520757
103	0.3529039456
104	0.3527428516
105	0.3525974268
106	0.3524791084
107	0.3523599002
108	0.3521774501
109	0.3520544284
110	0.3519164282
111	0.3518019811
112	0.3516704174
113	0.3515840283
114	0.351447161
115	0.3513216442
116	0.3512263664
117	0.3511239602
118	0.3509652435
119	0.3508713197
120	0.3507868927
121	0.3506846096
122	0.3505808481
123	0.3504689072
124	0.3503590879
125	0.3502260941
126	0.3501167742
127	0.349977119
128	0.3498719519
129	0.3497518693
130	0.3496642007
131	0.3496001125
132	0.3494828287
133	0.3494041447
134	0.3493101787
135	0.349197114
136	0.349102151
137	0.349046908
138	0.348939283
139	0.3488680115
140	0.3487699271
141	0.3486857629
142	0.3485773103
143	0.3485058211
144	0.3484046491
145	0.3483156953
146	0.348217846
147	0.3481258493
148	0.348005844
149	0.3479029099
150	0.3477865085
151	0.3477209697
152	0.3476386756
153	0.3475710744
154	0.3474756802
155	0.3473845063
156	0.3472494116
157	0.3471320096
158	0.3470710874
159	0.3469759025
160	0.3468766337
161	0.3468079902
162	0.3467501598
163	0.3466926855
164	0.3466160124
165	0.3465266376
166	0.3464530799
167	0.3463392709
168	0.3462443446
169	0.3461620815
170	0.3460789779
171	0.3459744791
172	0.3459003208
173	0.3458293124
174	0.3457495608
175	0.3456706228
176	0.3456029554
177	0.3455249264
178	0.3454518218
179	0.3453690012
180	0.3452937484
181	0.3452226649
182	0.3451653477
183	0.3450834014
184	0.3449959201
185	0.3448856219
186	0.3448229402
187	0.3447007087
188	0.3446473666
189	0.3446080559
190	0.3445275895
191	0.3444472799
192	0.3443783787
193	0.3442953354
194	0.3442335274
195	0.3441232632
196	0.344020391
197	0.3439446693
198	0.3438954988
199	0.3438359174
200	0.3437583049
201	0.3436557716
202	0.3436067529
203	0.3435194648
204	0.3434229249
205	0.3433411354
206	0.343252823
207	0.3431713199
208	0.3430886986
209	0.3430082925
210	0.3429693381
211	0.3429102668
212	0.3428325712
213	0.3427439377
214	0.3426813624
215	0.3425967121
216	0.3425332432
217	0.3424534302
218	0.3423840128
219	0.3423093158
220	0.3422282715
221	0.3421786995
222	0.3421071822
223	0.3420527765
224	0.3419864658
225	0.3419029367
226	0.3418337058
227	0.3417590527
228	0.3417011232
229	0.3416184741
230	0.3415513971
231	0.3414664885
232	0.3413991638
233	0.3413126278
234	0.3412314444
235	0.3412002053
236	0.3411195641
237	0.34104917
238	0.340953717
239	0.3408620106
240	0.3407886372
241	0.3407342929
242	0.3406783704
243	0.3406080412
244	0.3404927518
245	0.340439908
246	0.3403912733
247	0.3403362331
248	0.3403038807
249	0.3402472099
250	0.3401482509
251	0.340070325
252	0.3400283236
253	0.3399490495
254	0.3398604071
255	0.339791876
256	0.3397486048
257	0.3396611485
258	0.33961152
259	0.3395243675
260	0.3394369359
261	0.3393512995
262	0.3392952076
263	0.3392403463
264	0.3391866435
265	0.3390910568
266	0.3390360394
267	0.3389508988
268	0.3388586577
269	0.3387816568
270	0.3387011259
271	0.3386356267
272	0.3385554515
273	0.3384945487
274	0.3384135937
275	0.3383269731
276	0.338274486
277	0.3381813554
278	0.3381143809
279	0.3380365382
280	0.3379628
281	0.337917576
282	0.3378198998
283	0.3377247058
284	0.3376600741
285	0.3375944124
286	0.3375095428
287	0.3374439148
288	0.3373873613
289	0.3372871579
290	0.3372603638
291	0.3371712891
292	0.3371068058
293	0.3370418007
294	0.3369707512
295	0.3368915505
296	0.3368366075
297	0.3367660525
298	0.3366998643
299	0.3366257393
300	0.3365386129
301	0.3364556823
302	0.3363753727
303	0.3362966111
304	0.3362369107
305	0.3361790179
306	0.3361314686
307	0.3360501784
308	0.3359893681
309	0.3359410667
310	0.3359198182
311	0.335866859
312	0.3358009165
313	0.335744186
314	0.3356852908
315	0.3356248431
316	0.3355401144
317	0.3354522072
318	0.3354242311
319	0.3353738674
320	0.3353161122
321	0.335251897
322	0.3351919433
323	0.3351205237
324	0.3350538053
325	0.33497452
326	0.3348954962
327	0.3348592025
328	0.3347706552
329	0.3347448456
330	0.3346678415
331	0.3345850218
332	0.3345346982
333	0.3344429506
334	0.3343784524
335	0.3343198307
336	0.3342680314
337	0.334226335
338	0.3341456201
