iter	Passed	Remaining
162	14121	89839
163	14213	89788
164	14287	89620
165	14378	89561
166	14452	89398
167	14532	89273
168	14617	89177
169	14712	89141
170	14788	88993
171	14868	88865
172	14941	88701
173	15019	88563
174	15103	88460
175	15190	88383
176	15279	88310
177	15345	88107
178	15427	87995
179	15508	87883
180	15579	87709
181	15672	87660
182	15747	87515
183	15835	87441
184	15910	87290
185	15985	87147
186	16064	87022
187	16148	86924
188	16226	86800
189	16330	86807
190	16409	86685
191	16493	86588
192	16567	86443
193	16642	86302
194	16726	86206
195	16824	86183
196	16911	86100
197	16986	85963
198	17070	85868
199	17146	85731
200	17228	85628
201	17323	85589
202	17411	85514
203	17482	85357
204	17568	85273
205	17645	85142
206	17730	85054
207	17823	85003
208	17911	84929
209	17992	84821
210	18083	84760
211	18179	84722
212	18265	84640
213	18348	84538
214	18423	84404
215	18502	84290
216	18593	84228
217	18679	84143
218	18758	84026
219	18842	83933
220	18926	83840
221	19007	83737
222	19095	83658
223	19171	83533
224	19260	83464
225	19352	83405
226	19445	83348
227	19531	83266
228	19610	83150
229	19686	83024
230	19769	82929
231	19855	82846
232	19941	82760
233	20020	82650
234	20101	82545
235	20184	82448
236	20268	82358
237	20351	82259
238	20428	82143
239	20507	82030
240	20586	81917
241	20669	81823
242	20751	81726
243	20834	81630
244	20908	81499
245	20993	81412
246	21086	81357
247	21184	81322
248	21285	81297
249	21381	81249
250	21472	81185
251	21574	81160
252	21672	81123
253	21760	81045
254	21847	80963
255	21928	80861
256	22030	80834
257	22121	80769
258	22222	80740
259	22329	80730
260	22404	80603
261	22483	80493
262	22575	80430
263	22667	80366
264	22786	80396
265	22879	80334
266	22971	80270
267	23048	80154
268	23133	80063
269	23218	79973
270	23312	79915
271	23407	79860
272	23498	79791
273	23594	79739
274	23691	79688
275	23785	79630
276	23873	79548
277	23972	79507
278	24050	79392
279	24148	79344
280	24232	79253
281	24332	79210
282	24420	79129
283	24498	79014
284	24575	78901
285	24671	78844
286	24762	78775
287	24845	78678
288	24937	78609
289	25005	78466
290	25089	78372
291	25188	78324
292	25271	78229
293	25348	78113
294	25434	78027
295	25527	77961
296	25606	77854
297	25690	77762
298	25768	77650
299	25856	77569
300	25929	77442
301	26018	77366
302	26101	77271
303	26200	77221
304	26287	77139
305	26374	77053
306	26464	76978
307	26559	76917
308	26641	76820
309	26729	76738
310	26829	76693
311	26923	76627
312	27004	76526
313	27086	76428
314	27167	76327
315	27250	76231
316	27340	76157
317	27435	76095
318	27536	76048
319	27644	76022
320	27724	75919
321	27809	75827
322	27885	75713
323	27961	75599
324	28037	75486
325	28119	75387
326	28193	75268
327	28283	75193
328	28365	75095
329	28451	75008
330	28546	74944
331	28619	74823
332	28700	74725
333	28774	74607
334	28853	74502
335	28935	74404
336	29017	74309
337	29104	74224
338	29197	74157
339	29287	74080
340	29379	74008
341	29455	73897
342	29544	73818
343	29617	73698
344	29707	73624
345	29792	73533
346	29883	73459
347	29957	73343
348	30044	73260
349	30138	73193
350	30218	73093
351	30296	72988
352	30377	72887
353	30458	72789
354	30550	72719
355	30638	72636
356	30721	72544
357	30798	72436
358	30875	72329
359	30976	72278
360	31062	72191
361	31135	72075
362	31215	71975
363	31307	71904
364	31391	71813
365	31476	71725
366	31559	71631
367	31655	71568
368	31723	71443
369	31803	71344
370	31875	71225
371	31965	71148
372	32039	71036
373	32129	70960
374	32219	70883
375	32293	70771
376	32376	70678
377	32452	70570
378	32529	70465
379	32625	70402
380	32711	70316
381	32791	70218
382	32874	70125
383	32957	70034
384	33051	69965
385	33125	69854
386	33204	69754
387	33299	69688
388	33378	69589
389	33454	69481
390	33543	69404
391	33619	69297
392	33708	69219
393	33791	69127
394	33885	69058
395	33967	68964
396	34044	68861
397	34133	68780
398	34224	68706
399	34313	68626
400	34405	68554
401	34480	68446
402	34575	68379
403	34663	68296
404	34760	68232
405	34851	68158
406	34935	68068
407	35028	67995
408	35122	67926
409	35206	67837
410	35289	67746
411	35378	67665
412	35451	67555
413	35540	67475
414	35634	67404
415	35725	67328
416	35802	67226
417	35891	67146
418	35988	67080
419	36068	66983
420	36151	66892
421	36247	66826
422	36356	66782
423	36447	66706
424	36527	66609
425	36612	66521
426	36684	66410
427	36761	66307
428	36850	66227
429	36946	66159
430	37031	66071
431	37120	65991
432	37210	65912
433	37286	65809
434	37372	65724
435	37478	65673
436	37555	65572
437	37636	65476
438	37722	65391
439	37811	65310
440	37886	65205
441	37959	65098
442	38047	65016
443	38120	64908
444	38192	64799
445	38277	64711
446	38370	64637
447	38463	64564
448	38537	64457
449	38625	64376
450	38715	64296
451	38802	64212
452	38895	64138
453	38984	64058
454	39080	63988
455	39169	63907
456	39255	63822
457	39331	63720
458	39424	63646
459	39498	63541
460	39591	63466
461	39678	63382
462	39756	63284
463	39839	63193
464	39926	63109
465	40009	63019
466	40099	62940
467	40171	62831
468	40261	62753
469	40337	62651
470	40417	62556
471	40498	62464
472	40585	62379
473	40677	62303
474	40758	62210
475	40836	62112
476	40920	62023
477	41007	61940
478	41103	61869
479	41184	61776
480	41273	61696
481	41360	61611
482	41440	61517
483	41531	61438
484	41616	61351
485	41710	61278
486	41793	61188
487	41886	61112
488	41993	61057
489	42077	60968
490	42158	60877
491	42238	60782
492	42328	60701
493	42422	60628
494	42498	60528
495	42585	60444
496	42676	60365
497	42765	60284
498	42847	60192
499	42927	60098
500	43020	60022
501	43107	59937
502	43192	59850
503	43288	59779
504	43369	59686
505	43457	59603
506	43556	59535
507	43632	59436
508	43725	59359
509	43810	59273
510	43898	59190
511	43974	59090
512	44063	59009
513	44149	58922
514	44237	58840
515	44331	58764
516	44416	58677
517	44490	58576
518	44574	58487
519	44649	58387
520	44742	58311
521	44820	58214
522	44923	58151
523	45021	58081
524	45109	57997
525	45191	57906
526	45282	57827
527	45381	57758
528	45456	57658
529	45535	57564
530	45626	57484
531	45698	57381
532	45778	57287
533	45860	57197
534	45947	57112
535	46043	57038
536	46136	56961
537	46218	56871
538	46305	56786
539	46387	56695
540	46463	56598
541	46549	56512
542	46641	56434
543	46733	56354
544	46823	56274
545	46926	56209
546	47007	56117
547	47100	56039
548	47180	55946
549	47262	55855
550	47350	55772
551	47451	55703
552	47536	55616
553	47613	55520
554	47701	55436
555	47787	55350
556	47867	55257
557	47955	55175
558	48041	55088
559	48132	55008
560	48222	54927
561	48305	54838
562	48384	54744
563	48458	54644
564	48550	54565
565	48644	54488
566	48735	54408
567	48831	54334
568	48921	54252
569	49011	54170
570	49087	54073
571	49166	53980
572	49266	53908
573	49359	53830
574	49440	53739
575	49531	53659
576	49616	53572
577	49716	53500
578	49802	53414
579	49897	53338
580	49979	53247
581	50050	53146
582	50137	53061
583	50231	52983
584	50310	52890
585	50405	52814
586	50477	52713
587	50560	52623
588	50638	52529
589	50729	52449
590	50830	52378
591	50910	52286
592	50997	52201
593	51093	52125
594	51182	52042
595	51278	51967
596	51363	51879
597	51444	51788
598	51527	51699
599	51607	51607
600	51703	51531
601	51781	51437
602	51876	51360
603	51957	51268
604	52042	51181
605	52132	51100
606	52218	51013
607	52313	50936
608	52412	50863
609	52508	50787
610	52582	50689
611	52669	50604
612	52762	50524
613	52861	50451
614	52938	50356
615	53022	50267
616	53097	50171
617	53192	50093
618	53281	50010
619	53371	49928
620	53453	49838
621	53545	49758
622	53628	49668
623	53722	49589
624	53816	49511
625	53911	49432
626	53994	49344
627	54085	49262
628	54175	49179
629	54272	49103
630	54354	49013
631	54438	48925
632	54526	48840
633	54617	48759
634	54711	48680
635	54814	48609
636	54897	48520
637	54976	48427
638	55069	48347
639	55160	48265
640	55236	48170
641	55317	48080
642	55420	48008
643	55508	47923
644	55605	47846
645	55700	47767
646	55788	47683
647	55877	47599
648	55960	47510
649	56039	47418
650	56126	47332
651	56217	47250
652	56320	47177
653	56406	47091
654	56481	46996
655	56561	46904
656	56647	46818
657	56743	46740
658	56833	46656
659	56917	46568
660	57007	46485
661	57101	46405
662	57178	46311
663	57271	46231
664	57362	46148
665	57450	46063
666	57536	45977
667	57617	45886
668	57707	45803
669	57791	45715
670	57874	45627
671	57958	45538
672	58038	45447
673	58134	45369
674	58221	45283
675	58317	45204
676	58412	45125
677	58493	45034
678	58583	44951
679	58668	44864
680	58754	44777
681	58838	44689
682	58929	44606
683	59016	44521
684	59102	44434
685	59188	44348
686	59280	44265
687	59357	44173
688	59441	44085
689	59532	44002
690	59614	43912
691	59708	43832
692	59790	43742
693	59867	43650
694	59958	43567
695	60059	43491
696	60152	43410
697	60236	43321
698	60317	43232
699	60410	43150
700	60499	43066
701	60577	42973
702	60664	42888
703	60742	42795
704	60833	42712
705	60920	42626
706	61005	42540
707	61086	42450
708	61177	42366
709	61267	42283
710	61365	42204
711	61456	42121
712	61543	42036
713	61628	41948
714	61731	41873
715	61825	41792
716	61911	41705
717	62000	41621
718	62097	41542
719	62179	41452
720	62266	41367
721	62347	41276
722	62438	41193
723	62514	41100
724	62599	41013
725	62677	40921
726	62757	40831
727	62847	40747
728	62922	40653
729	63006	40565
730	63082	40472
731	63172	40389
732	63269	40309
733	63368	40231
734	63458	40147
735	63556	40068
736	63634	39976
737	63717	39888
738	63801	39800
739	63900	39722
740	63990	39637
741	64085	39556
742	64190	39481
743	64265	39388
744	64355	39304
745	64437	39215
746	64513	39122
747	64595	39033
748	64684	38948
749	64772	38863
750	64857	38776
751	64942	38688
752	65026	38601
753	65119	38518
754	65203	38431
755	65291	38345
756	65364	38251
757	65447	38163
758	65521	38069
759	65608	37983
760	65716	37909
761	65808	37826
762	65890	37737
763	65989	37658
764	66081	37576
765	66160	37485
766	66240	37394
767	66317	37303
768	66395	37212
769	66478	37124
770	66564	37037
771	66669	36961
772	66753	36874
773	66841	36788
774	66941	36709
775	67028	36623
776	67102	36530
777	67202	36451
778	67302	36372
779	67390	36287
780	67466	36195
781	67549	36107
782	67651	36029
783	67732	35939
784	67824	35856
785	67913	35771
786	68000	35684
787	68082	35596
788	68156	35503
789	68235	35413
790	68313	35322
791	68403	35238
792	68488	35151
793	68579	35067
794	68659	34977
795	68743	34889
796	68831	34804
797	68918	34718
798	68992	34625
799	69076	34538
800	69154	34447
801	69247	34364
802	69328	34275
803	69419	34191
804	69508	34106
805	69597	34021
806	69673	33930
807	69760	33844
808	69838	33753
809	69916	33663
810	69999	33575
811	70103	33497
812	70181	33407
813	70278	33326
814	70363	33238
815	70446	33151
816	70529	33063
817	70616	32977
818	70687	32883
819	70778	32799
820	70863	32712
821	70944	32624
822	71036	32540
823	71122	32453
824	71214	32370
825	71307	32286
826	71400	32203
827	71486	32117
828	71565	32027
829	71656	31943
830	71739	31855
831	71827	31769
832	71924	31688
833	72013	31603
834	72100	31517
835	72193	31433
836	72286	31350
837	72376	31265
838	72455	31175
839	72554	31094
840	72626	31002
841	72720	30919
842	72806	30832
843	72887	30744
844	72961	30652
845	73049	30566
846	73134	30479
847	73211	30389
848	73290	30300
849	73387	30218
850	73474	30132
851	73561	30046
852	73646	29959
853	73736	29874
854	73812	29784
855	73896	29696
856	73980	29609
857	74076	29527
858	74161	29440
859	74253	29356
860	74340	29269
861	74424	29182
862	74514	29097
863	74602	29012
864	74686	28924
865	74761	28834
866	74840	28744
867	74931	28660
868	75013	28572
869	75115	28492
870	75202	28405
871	75298	28323
872	75397	28241
873	75489	28157
874	75569	28068
875	75657	27982
876	75744	27896
877	75836	27812
878	75918	27724
879	76005	27638
880	76088	27550
881	76189	27469
882	76283	27385
883	76376	27302
884	76468	27217
885	76551	27129
886	76647	27046
887	76737	26961
888	76830	26877
889	76900	26785
890	76996	26702
891	77074	26613
892	77170	26529
893	77272	26448
894	77355	26361
895	77440	26274
896	77527	26188
897	77611	26100
898	77696	26013
899	77785	25928
900	77862	25839
901	77960	25756
902	78040	25667
903	78131	25582
904	78220	25497
905	78309	25411
906	78400	25326
907	78491	25241
908	78581	25156
909	78674	25072
910	78761	24985
911	78835	24895
912	78931	24811
913	79008	24722
914	79101	24638
915	79185	24551
916	79287	24469
917	79368	24381
918	79458	24295
919	79528	24204
920	79614	24117
921	79691	24028
922	79770	23939
923	79862	23855
924	79950	23768
925	80026	23679
926	80120	23595
927	80202	23507
928	80282	23419
929	80373	23334
930	80452	23245
931	80549	23162
932	80632	23074
933	80718	22988
934	80803	22901
935	80887	22814
936	80981	22730
937	81067	22643
938	81156	22558
939	81248	22472
940	81326	22384
941	81411	22297
942	81507	22213
943	81602	22129
944	81707	22048
945	81803	21964
946	81890	21877
947	81973	21790
948	82057	21703
949	82154	21619
950	82241	21533
951	82347	21451
952	82437	21366
953	82513	21277
954	82594	21189
955	82686	21104
956	82785	21020
957	82873	20934
958	82987	20855
959	83069	20767
960	83152	20680
961	83236	20592
962	83323	20506
963	83404	20418
964	83482	20329
965	83556	20240
966	83639	20153
967	83719	20064
968	83804	19978
969	83909	19895
970	83999	19810
971	84085	19723
972	84185	19640
973	84275	19554
974	84350	19465
975	84438	19379
976	84529	19293
977	84608	19205
978	84687	19117
979	84762	19028
980	84851	18942
981	84930	18854
982	85014	18767
983	85101	18680
984	85192	18595
985	85275	18507
986	85367	18422
987	85454	18336
988	85551	18252
989	85642	18166
990	85721	18078
991	85807	17991
992	85895	17905
993	85991	17821
994	86091	17737
995	86171	17649
996	86264	17564
997	86346	17477
998	86441	17392
999	86521	17304
1000	86604	17217
1001	86701	17132
1002	86784	17045
1003	86861	16957
1004	86944	16869
1005	87026	16782
1006	87107	16694
1007	87189	16607
1008	87263	16518
1009	87357	16433
1010	87444	16347
1011	87521	16258
1012	87617	16174
1013	87717	16090
1014	87785	16000
1015	87869	15913
1016	87954	15826
1017	88058	15743
1018	88135	15655
1019	88234	15570
1020	88324	15484
1021	88417	15399
1022	88505	15313
1023	88581	15224
1024	88665	15137
1025	88747	15050
1026	88847	14966
1027	88925	14878
1028	89026	14794
1029	89126	14710
1030	89209	14623
1031	89293	14536
1032	89371	14448
1033	89467	14363
1034	89553	14276
1035	89635	14189
1036	89718	14102
1037	89801	14015
1038	89880	13927
1039	89973	13842
1040	90073	13757
1041	90160	13671
1042	90249	13585
1043	90341	13499
1044	90422	13411
1045	90510	13325
1046	90594	13238
1047	90690	13153
1048	90778	13067
1049	90866	12980
1050	90950	12894
1051	91032	12806
1052	91119	12720
1053	91206	12633
1054	91313	12550
1055	91418	12466
1056	91508	12380
1057	91599	12294
1058	91691	12208
1059	91779	12121
1060	91869	12035
1061	91957	11949
1062	92045	11862
1063	92131	11776
1064	92218	11689
1065	92308	11603
1066	92386	11515
1067	92478	11429
1068	92560	11342
1069	92635	11254
1070	92725	11168
1071	92825	11083
1072	92915	10997
1073	93011	10911
1074	93095	10825
1075	93183	10738
1076	93260	10650
1077	93343	10563
1078	93419	10476
1079	93512	10390
1080	93586	10302
1081	93674	10215
1082	93771	10130
1083	93854	10043
1084	93938	9956
1085	94025	9870
1086	94124	9784
1087	94201	9697
1088	94272	9609
1089	94365	9523
1090	94455	9436
1091	94534	9349
1092	94627	9263
1093	94716	9177
1094	94793	9089
1095	94869	9002
1096	94943	8914
1097	95035	8828
1098	95107	8740
1099	95194	8654
1100	95289	8568
1101	95376	8481
1102	95449	8393
1103	95522	8306
1104	95619	8220
1105	95706	8134
1106	95796	8047
1107	95883	7961
1108	95966	7874
1109	96043	7787
1110	96120	7700
1111	96204	7613
1112	96287	7526
1113	96371	7439
1114	96470	7354
1115	96558	7267
1116	96626	7179
1117	96694	7092
1118	96782	7005
1119	96871	6919
1120	96960	6833
1121	97054	6747
1122	97128	6659
1123	97213	6573
1124	97289	6485
1125	97370	6399
1126	97456	6312
1127	97559	6227
1128	97639	6140
1129	97731	6054
1130	97824	5968
1131	97914	5881
1132	98001	5795
1133	98084	5708
1134	98175	5622
1135	98254	5535
1136	98349	5449
1137	98443	5363
1138	98535	5277
1139	98626	5190
1140	98722	5104
1141	98822	5019
1142	98910	4932
1143	98998	4846
1144	99077	4759
1145	99171	4673
1146	99247	4585
1147	99329	4499
1148	99408	4412
1149	99485	4325
1150	99579	4239
1151	99676	4153
1152	99768	4066
1153	99856	3980
1154	99931	3893
1155	100008	3806
1156	100099	3720
1157	100194	3633
1158	100291	3547
1159	100371	3461
1160	100469	3374
1161	100559	3288
1162	100641	3201
1163	100735	3115
1164	100828	3029
1165	100904	2942
1166	100993	2855
1167	101079	2769
1168	101156	2682
1169	101237	2595
1170	101333	2509
1171	101424	2423
1172	101523	2336
1173	101621	2250
1174	101706	2163
1175	101794	2077
1176	101886	1990
1177	101970	1904
1178	102074	1818
1179	102160	1731
1180	102256	1645
1181	102345	1558
1182	102423	1471
1183	102510	1385
1184	102597	1298
1185	102675	1212
1186	102758	1125
1187	102841	1038
1188	102942	952
1189	103015	865
1190	103093	779
1191	103183	692
1192	103261	605
1193	103349	519
1194	103425	432
1195	103519	346
1196	103622	259
1197	103709	173
1198	103784	86
1199	103871	0
